"","EVENT_ID","CZ_NAME_STR","BEGIN_LOCATION","BEGIN_DATE","BEGIN_TIME","EVENT_TYPE","STATE_ABBR","EPISODE_ID","CZ_TYPE","BEGIN_AZIMUTH","END_AZIMUTH","END_LOCATION","END_DATE","END_TIME","BEGIN_LON","BEGIN_LAT","END_LON","END_LAT"
"1",5541358,"DISTRICT OF COLUMBIA CO.","ALL","01/19/1996",1100,"Flash Flood","DC",2403644,"C",NA,NA,"ALL","01/19/1996",1300,NA,NA,NA,NA
"2",5541359,"DISTRICT OF COLUMBIA (ZONE)",NA,"01/20/1996",730,"Flood","DC",2403645,"Z",NA,NA,NA,"01/23/1996",500,NA,NA,NA,NA
"3",5561204,"DISTRICT OF COLUMBIA CO.","N PORTION","06/18/1996",30,"Flash Flood","DC",1014286,"C",NA,NA,"N PORTION","06/18/1996",200,NA,NA,NA,NA
"4",5561207,"DISTRICT OF COLUMBIA CO.","NORTHWEST","06/20/1996",2200,"Flash Flood","DC",2040906,"C",NA,NA,"NORTHWEST","06/20/1996",2300,NA,NA,NA,NA
"5",5572405,"DISTRICT OF COLUMBIA CO.","DOWNTOWN","09/06/1996",1200,"Flash Flood","DC",2049837,"C",NA,NA,"DOWNTOWN","09/06/1996",1800,NA,NA,NA,NA
"6",5572407,"DISTRICT OF COLUMBIA (ZONE)",NA,"09/07/1996",2330,"Flood","DC",2049839,"Z",NA,NA,NA,"09/10/1996",45,NA,NA,NA,NA
"7",5572790,"DISTRICT OF COLUMBIA CO.","CITYWIDE","11/08/1996",1600,"Flash Flood","DC",2049872,"C",NA,NA,"CITYWIDE","11/08/1996",1715,NA,NA,NA,NA
"8",5600268,"DISTRICT OF COLUMBIA CO.","UPPER NORTHWEST","05/25/1997",2100,"Flash Flood","DC",2062509,"C",NA,NA,"UPPER NORTHWEST","05/25/1997",2259,NA,NA,NA,NA
"9",5635978,"DISTRICT OF COLUMBIA CO.","NORTHWEST PORTION","02/04/1998",1200,"Flash Flood","DC",2073395,"C",NA,NA,"NORTHWEST PORTION","02/05/1998",1200,NA,NA,NA,NA
"10",5632971,"DISTRICT OF COLUMBIA CO.","EAST PORTION","03/09/1998",500,"Flash Flood","DC",2074384,"C",NA,NA,"EAST PORTION","03/09/1998",1000,NA,NA,NA,NA
"11",5658567,"DISTRICT OF COLUMBIA CO.","NORTHWEST PORTION","06/23/1998",2045,"Flash Flood","DC",2082391,"C",NA,NA,"NORTHWEST PORTION","06/23/1998",2130,NA,NA,NA,NA
"12",5718781,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","08/25/1999",1700,"Flash Flood","DC",2413456,"C",NA,NA,"COUNTYWIDE","08/25/1999",2100,NA,NA,NA,NA
"13",5716690,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","09/16/1999",800,"Flash Flood","DC",2412892,"C",NA,NA,"COUNTYWIDE","09/16/1999",1500,NA,NA,NA,NA
"14",5254401,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","06/22/2001",2250,"Flash Flood","DC",1118128,"C",NA,NA,"COUNTYWIDE","06/22/2001",2359,NA,NA,NA,NA
"15",5263790,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","08/10/2001",1430,"Flash Flood","DC",1121751,"C",NA,NA,"COUNTYWIDE","08/10/2001",1515,NA,NA,NA,NA
"16",5263600,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","08/11/2001",1530,"Flash Flood","DC",1121752,"C",NA,NA,"COUNTYWIDE","08/11/2001",1730,NA,NA,NA,NA
"17",5342403,"DISTRICT OF COLUMBIA (ZONE)",NA,"02/22/2003",800,"Flood","DC",1147476,"Z",NA,NA,NA,"02/23/2003",600,NA,NA,NA,NA
"18",5347744,"DISTRICT OF COLUMBIA (ZONE)",NA,"03/20/2003",1415,"Flood","DC",1148715,"Z",NA,NA,NA,"03/20/2003",1800,NA,NA,NA,NA
"19",5369223,"DISTRICT OF COLUMBIA (ZONE)",NA,"05/16/2003",730,"Flood","DC",1160457,"Z",NA,NA,NA,"05/16/2003",1000,NA,NA,NA,NA
"20",5370179,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","06/12/2003",1700,"Flash Flood","DC",1156726,"C",NA,NA,"COUNTYWIDE","06/12/2003",1800,NA,NA,NA,NA
"21",5370180,"DISTRICT OF COLUMBIA (ZONE)",NA,"06/20/2003",1410,"Flood","DC",1156727,"Z",NA,NA,NA,"06/20/2003",1510,NA,NA,NA,NA
"22",5368665,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","07/10/2003",2330,"Flash Flood","DC",1160490,"C",NA,NA,"COUNTYWIDE","07/11/2003",30,NA,NA,NA,NA
"23",5335401,"DISTRICT OF COLUMBIA (ZONE)",NA,"09/23/2003",300,"Flood","DC",1163732,"Z",NA,NA,NA,"09/23/2003",1300,NA,NA,NA,NA
"24",5335400,"DISTRICT OF COLUMBIA (ZONE)",NA,"09/23/2003",1645,"Flood","DC",1163732,"Z",NA,NA,NA,"09/24/2003",1845,NA,NA,NA,NA
"25",5379911,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","11/19/2003",1800,"Flash Flood","DC",1164973,"C",NA,NA,"COUNTYWIDE","11/19/2003",2000,NA,NA,NA,NA
"26",5406535,"DISTRICT OF COLUMBIA CO.","SOUTHEAST PORTION","06/17/2004",1740,"Flash Flood","DC",1173587,"C",NA,NA,"SOUTHEAST PORTION","06/17/2004",1900,NA,NA,NA,NA
"27",5418283,"DISTRICT OF COLUMBIA CO.","US CAPITOL","07/04/2004",1510,"Flash Flood","DC",1178246,"C",NA,NA,"US CAPITOL","07/04/2004",1710,NA,NA,NA,NA
"28",5418284,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","07/27/2004",2200,"Flash Flood","DC",1178247,"C",NA,NA,"COUNTYWIDE","07/28/2004",500,NA,NA,NA,NA
"29",5421637,"DISTRICT OF COLUMBIA CO.","LINCOLN MEMORIAL","08/11/2004",1525,"Flash Flood","DC",1179579,"C",NA,NA,"LINCOLN MEMORIAL","08/11/2004",1825,NA,NA,NA,NA
"30",5436764,"DISTRICT OF COLUMBIA CO.","COUNTYWIDE","01/14/2005",715,"Flash Flood","DC",1184698,"C",NA,NA,"COUNTYWIDE","01/14/2005",1000,-77.01667,38.91667,-77.01667,38.91667
